ID,family,hybrid_index,seed.cohort,cohort,F21_238,F21_259,F21_241,F21_284,F21_232,s.coh8,s.coh9,s.coh11,s.coh10,s.coh12,s.coh15,s.coh13,s.coh14,s.coh6,s.coh7,s.coh4,s.coh2,s.coh3,coh27,coh24,coh19,coh25,coh26,coh1,coh28,coh31,coh21,coh29,coh30,coh34,coh7,coh8,coh22,coh32,coh33,coh5,coh9,coh6,coh10,coh12,coh15,coh14,coh11,coh13,coh16,coh17,coh20,coh18,coh23,days_to_radicle,GR_cm.dy,ldmc,ave_thick,ave_tough,N_reabsorp,chloro_reabsorp,N_wght_p
23_228,21_232,0.526702616883828,6,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0.357142857142857,0.0909090909090909,0.423666666666667,60.6666666666667,17.8041543026706,25.4004576659039,3.37
22_076,21_232,0.525226850333443,6,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0.321428571428571,0.0860215053763441,0.475,72.6666666666667,21.4046822742475,88.3882149046794,2.99
22_031,21_232,0.602240027083451,6,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0.385714285714286,0.113207547169811,0.474333333333333,106,NA,43.2348367029549,NA
22_058,21_232,0.426311418685121,6,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0.442857142857143,0.0823529411764706,0.479,65.3333333333333,27.7611940298508,61.6632860040568,3.35
22_086,21_232,0.421836907990248,6,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0.442857142857143,0.0823529411764706,0.479,65.3333333333333,27.7611940298508,61.6632860040568,3.35
22_032,21_232,0.528643905114493,6,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0.271428571428571,0.138613861386139,0.471666666666667,90.6666666666667,29.136690647482,90.873786407767,2.78
22_110,21_232,0.507852831116331,6,12,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38,0.257142857142857,0.114093959731544,0.54,123.333333333333,-7.17488789237668,49.2822966507177,2.23
22_132,21_232,0.468248991165885,6,15,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40,0.304545454545455,0.119402985074627,0.564333333333333,130,11.5151515151515,36.2537764350453,3.3
22_129,21_232,0.305430299697553,6,14,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0.428571428571429,0.0951008645533141,0.52,103.333333333333,9.6345514950166,37.037037037037,3.01
23_076,21_232,0.419509202453988,6,29,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0.476923076923077,0.120253164556962,0.449666666666667,110,36.0881542699724,46.7048710601719,3.63
22_038,21_232,0.421567549741673,6,11,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0.25,0.116935483870968,0.545,116.666666666667,NA,66.7917448405253,3.1
22_039,21_232,0.377584271201292,6,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0.45,0.12751677852349,0.500666666666667,84.6666666666667,15.8385093167702,72.281776416539,3.22
22_085,21_232,0.398819768871404,6,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0.242857142857143,0.0961538461538462,0.479333333333333,76,34.9056603773585,71.6190476190476,3.18
22_097,21_232,0.46682839075447,6,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0.321428571428571,0.0949720670391062,0.508333333333333,80.6666666666667,17.2413793103448,31.8327974276527,3.19
22_040,21_232,0.612777035684104,6,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0.421428571428571,0.109243697478992,0.451,87.3333333333333,18.3006535947712,82.2429906542056,3.06
22_072,21_232,0.407891134110947,6,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0.307142857142857,0.0878661087866109,0.507,83.3333333333333,21.9269102990033,53.8095238095238,3.01
22_074,21_232,0.43184634448575,6,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0.25,0.0971223021582734,0.521666666666667,101.333333333333,20,77.0547945205479,2.75
22_070,21_232,0.469557725445146,6,11,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0.357142857142857,0.0931899641577061,0.451,83.3333333333333,37.4213836477987,72.3684210526316,3.18
22_087,21_232,0.547559842605749,6,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0.357142857142857,0.1,0.486666666666667,78,30.3951367781155,76.7284991568297,3.29
22_123,21_232,0.515236589620584,6,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0.385714285714286,0.104790419161677,0.494666666666667,96,29.4520547945205,83.1804281345566,2.92
22_096,21_232,0.294055924997275,6,13,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0.485714285714286,0.0863636363636364,0.503333333333333,96.6666666666667,37.6666666666667,62.2425629290618,3
22_068,21_232,0.383118131868132,6,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0.271428571428571,0.129186602870813,0.500666666666667,109.333333333333,23.0263157894737,73.7359550561798,3.04
23_226,21_232,0.479967315810976,6,11,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0.192857142857143,0.12,0.451,66,22.7963525835866,84.4569288389513,3.29
22_102,21_232,0.420924674468436,6,11,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0.242857142857143,0.114035087719298,0.502666666666667,91.3333333333333,32.3529411764706,74.354561101549,2.72
23_231,21_232,0.545733704552899,6,11,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0.0785714285714286,NA,NA,NA,16.9117647058824,63.9751552795031,2.72
22_121,21_232,0.426120284638844,6,13,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0.285714285714286,0.0990990990990991,0.578,145.333333333333,10.9523809523809,34.575569358178,2.1
22_049,21_232,0.506743737957611,6,11,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0.207142857142857,0.10546875,0.519,105.333333333333,23.5507246376812,72.6837060702875,2.76
22_050,21_232,0.686190176149906,6,11,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0.214285714285714,0.0972222222222222,0.477666666666667,88.6666666666667,NA,78.3645655877342,NA
22_089,21_232,0.55344888864587,6,13,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0.371428571428571,0.122171945701357,0.494666666666667,106,27.9411764705882,93.298969072165,2.72
22_052,21_232,0.281190705348549,6,11,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,0.292857142857143,0.0982658959537572,0.493,66,31.3253012048193,81.1740890688259,3.32
22_066,21_232,0.367136644414282,6,13,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0.25,0.100877192982456,0.48,107.333333333333,34.8993288590604,92.2720247295209,2.98
22_111,21_232,0.560224013112963,6,13,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,0.407142857142857,0.122093023255814,0.546666666666667,162.666666666667,40.590405904059,89.9253731343284,2.71
22_136,21_232,0.431444565811032,6,14,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,0.385714285714286,0.110169491525424,0.474333333333333,120.666666666667,42.4561403508772,60.2564102564103,2.85
22_120,21_232,0.58348132564684,6,12,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31,0.323809523809524,0.140529531568228,0.477,128.666666666667,0,65.4343807763401,2.47
22_109,21_232,0.270169445203608,7,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,0.428571428571429,0.136752136752137,0.516666666666667,113.333333333333,20.8163265306123,43.2170542635659,2.45
23_219,21_232,0.392803970223325,7,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0.521428571428571,0.0917030567685589,0.538333333333333,166,24.1635687732342,65.8578856152513,2.69
22_075,21_232,0.379446748894322,7,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.0714285714285714,0.0983606557377049,0.563666666666667,116.666666666667,14.5962732919255,34.1049382716049,3.22
22_033,21_232,0.492594280505868,7,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0.3,0.109375,0.459666666666667,92.6666666666667,27.355623100304,66.3244353182752,3.29
22_034,21_232,0.535372718329872,7,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0.478571428571429,0.104026845637584,0.478333333333333,98.6666666666667,9.43952802359883,62.1004566210046,3.39
22_189,21_232,0.440998909975125,7,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50,0.3,0.113110539845758,0.501,148.666666666667,20,57.8947368421053,2.8
22_153,21_232,0.26068925873207,7,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,55,0.421212121212121,0.11,0.522,139.333333333333,13.6363636363636,58.8709677419355,3.08
22_035,21_232,0.445152780830952,7,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0.257142857142857,0.123595505617978,0.504333333333333,68.6666666666667,26.4615384615385,52.0391517128874,3.25
22_181,21_232,0.509527845367307,7,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,59,0.673076923076923,0.102990033222591,0.51,122.666666666667,28.1862745098039,70.3448275862069,4.08
23_192,21_232,0.343389082588799,7,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,64,0.346153846153846,0.1,0.533333333333333,112.666666666667,28.5714285714286,28.8600288600289,3.57
22_207,21_232,0.50722937581842,7,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0.338461538461538,0.131313131313131,0.471333333333333,96,26.4462809917355,23.458904109589,3.63
23_188,21_232,0.561558512827548,7,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0.365384615384615,0.123209169054441,0.505333333333333,124.666666666667,37.1929824561404,64.5756457564576,2.85
23_144,21_232,0.524594202501848,7,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0.519230769230769,0.12781954887218,0.533,172,45.5696202531646,66.4371772805508,3.16
22_230,21_232,0.268171289913418,7,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0.446153846153846,0.0884615384615385,0.502666666666667,108,25.7396449704142,31.1148086522463,3.38
23_031,21_232,0.430082663737788,7,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0.865384615384615,0.108108108108108,0.461666666666667,123.333333333333,65.6398104265403,73.4939759036145,3.376
23_138,21_232,0.412525383574007,7,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0.765384615384615,0.0828025477707006,0.460333333333333,92.6666666666667,32.0209973753281,68.4575389948007,3.81
23_001,21_232,0.388375973303671,7,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0.492,0.100840336134454,0.457666666666667,66.6666666666667,21.8068535825545,40.7518796992481,3.21
