"field_ID","Lab_ID","V4","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V22","V23","V24","V25","V26","V27","V28","V29","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V45","V46","V47","V49","V59","V67","V71","V73","V74","V75","V80","V82","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153"
"165_009B_196","23_014",NA,108,4.43,56.4,11.7,177,NA,25.5,NA,90.6,NA,NA,NA,8.57,154,NA,NA,137,7980,NA,NA,705,167,1600,NA,1740,69,NA,10800,815,NA,716,2510,15700,501,162,5930,14600,27500,32900,22200,15200,3240,4070,2340,827,18200,6810,15200,261000,NA,72.2,11700,209000,3480,2420,6940,536,14.8,NA,11000,14.3,68.3,5360,13500,NA,4090,0.542,1760,1210,430,1020,NA,879,NA,370,NA,4990,66.9,441,139,353,386,2080,NA,2390,3410,3010,180,261,216,104,292,2600,398,182,290,498,1190,NA,21.5,1370,225,588,27.9,471,156,4.19,11.3,27.6,14.2,NA,NA,NA
"165_009B_197","23_007",2930,482,NA,NA,NA,874,NA,NA,25.8,1.31,1.61,4080,2320,476,1360,33.5,NA,102,NA,10100,NA,3570,130,4990,777,1240,25.7,NA,9710,276,NA,799,2100,3710,1650,244,8230,15400,21800,22600,7470,4630,259,2770,1210,3420,15600,2540,7600,169000,NA,135,5770,129000,848,2410,2820,643,NA,NA,11600,629,345,3090,6440,NA,4450,NA,NA,1700,459,364,572,NA,985,175,414,NA,3350,NA,831,415,721,3020,NA,1830,NA,3240,4560,NA,247,448,430,NA,1100,232,232,248,569,NA,281,157,23.8,569,363,45.1,1.06,541,126,3.34,25,8.51,8.34,5.97
"165_009B_199","23_047",10.6,574,60.2,NA,4.77,4.17,20.5,40.4,27.4,3.93,3.62,22.2,9.55,11.6,NA,108,NA,62.6,NA,176,1550,702,33.3,275,185,276,14.9,1.03,1280,91.6,NA,159,867,1230,94.2,84.9,2950,1580,5700,6760,1150,769,59,455,55.3,366,2750,638,1170,22600,NA,81.9,867,19300,132,401,694,95.5,1.06,7.03,614,253,8.21,903,NA,1600,NA,333,NA,174,38.2,98,47.7,147,NA,164,NA,80.5,3.18,552,12.4,108,NA,54.1,NA,521,136,270,NA,2220,451,NA,47.8,15.7,118,NA,247,41.1,62,47.5,26.2,225,83.4,150,NA,617,134,198,56.6,NA,467,3.35,5.7,18.2
"165_009B_201",NA,NA,494,NA,NA,NA,NA,1170,NA,NA,3.05,15.2,NA,2100,214,1010,163,NA,31.8,NA,4600,0.94,1120,312,1270,389,1080,36.7,NA,6320,202,NA,1360,2420,10100,192,107,7330,8470,18200,17100,10900,7760,1050,2000,480,438,12300,1900,5350,99900,NA,37,3430,73900,743,1130,1910,515,63.1,NA,5840,2100,773,2990,NA,7040,1890,NA,705,510,343,133,237,196,386,92.3,190,65.6,1850,8.37,631,514,NA,NA,3240,NA,NA,3210,2240,NA,68.1,216,173,556,821,NA,385,400,NA,591,327,194,136,939,211,422,52.2,NA,580,2.33,20.5,11.3,9.86,7.73
"165_009B_214","23_155",1450,187,NA,19.9,10.1,308,262,134,138,18.6,44.2,NA,14300,NA,7680,NA,NA,NA,1320,22700,NA,5160,1390,11400,NA,3590,266,NA,8870,2410,NA,2440,3240,3040,4550,599,3000,3150,18800,23300,6640,3700,196,2540,757,892,8190,2660,5400,113000,NA,125,4810,96100,646,2590,2100,288,NA,NA,5660,NA,263,1430,NA,3590,2030,15,NA,657,516,452,274,NA,665,113,479,NA,1650,NA,189,182,755,3970,1500,NA,NA,NA,NA,1470,271,607,NA,609,641,467,376,556,248,515,220,79.3,161,107,42.1,642,8.63,NA,423,7.64,19,7.19,6.44,6.56
"165_009B_216","23_154",964,197,24.5,5.71,NA,105,58.2,4.7,16,117,NA,NA,NA,26.2,NA,3000,NA,NA,NA,15400,NA,415,77.9,5480,NA,1430,135,NA,13100,330,NA,333,1660,3370,1050,271,5290,5950,26200,34200,9210,5960,640,8820,2270,3420,14700,5550,11400,216000,NA,85.9,10200,187000,1740,2900,3200,1050,NA,NA,6480,18.9,NA,1610,5140,NA,3740,1.62,2090,NA,572,402,570,1220,NA,162,111,2780,NA,NA,271,213,133,674,183,592,1480,1030,2120,237,188,138,280,594,290,136,158,462,NA,149,279,NA,965,NA,429,21.7,1340,265,7.67,18,33.8,8.72,14,NA
"165_009B_219","23_232",1040,NA,118,13.5,NA,46.3,NA,117,10.1,15.8,23.4,29.6,54.1,63.5,113,45.9,NA,41.6,NA,10500,NA,317,40.9,2240,NA,2720,88.4,0.681,4200,143,NA,295,1390,6700,922,72.5,1640,2360,20500,24200,6840,4730,503,3010,366,NA,6590,1640,4830,76600,0.921,11.1,2800,64800,1060,1310,2540,167,22,NA,2990,30.4,NA,1470,139,2750,1350,30,NA,489,166,172,468,NA,471,149,177,NA,1830,NA,88.1,420,284,376,770,272,1300,NA,2270,2520,352,590,120,286,611,555,225,285,239,535,320,126,325,25.4,332,382,37.4,20.3,861,157,3.62,18.2,26.2,11.1
"165_009B_60","23_178",NA,17.4,55.3,NA,927,917,53.4,287,NA,20.9,NA,30500,NA,NA,10700,NA,NA,NA,NA,131000,NA,10100,1390,43500,NA,9520,3280,NA,50100,1530,NA,2670,3490,6060,5280,269,12700,13000,31500,40800,13600,7940,NA,6460,2090,3040,23800,5330,19000,298000,NA,222,13800,244000,1590,3020,9350,895,NA,NA,14900,148,49.5,6550,19400,NA,5390,30.5,1560,1090,668,NA,1080,1940,61.4,849,30.1,3160,1.21,818,328,664,NA,3320,NA,NA,3610,1780,124,135,68.6,191,343,976,280,507,342,422,265,239,27.4,941,195,342,7.16,683,132,3.72,5.38,20,10,NA,NA,NA
"165_009B_66","22_218",1950,318,87.6,NA,20.1,25.9,NA,197,66.6,NA,204,NA,NA,NA,372,NA,NA,270,NA,23900,NA,1660,176,2450,NA,2350,194,NA,20100,531,NA,786,2150,9240,149,258,13100,10100,40500,47800,10000,6180,378,3930,1570,2180,18900,6820,12500,206000,NA,166,8790,171000,1840,2250,4900,963,NA,NA,5870,116,70.1,3360,9770,NA,2260,59.1,1370,213,963,379,628,2340,NA,80.1,351,NA,3420,20.5,485,526,769,NA,NA,NA,NA,5690,2120,NA,157,310,454,NA,836,363,243,246,546,266,1040,21.6,1730,288,438,12,473,119,3.98,3.66,27,6.6,5.88,NA
"165_016_02","22_282",1430,177,9.19,10.6,NA,1080,NA,NA,112,NA,35.8,9480,6580,2090,3790,NA,NA,NA,NA,12200,NA,5250,77.7,3990,1380,1420,114,NA,15400,510,NA,1370,1940,9550,853,131,7350,15100,24500,27000,13300,9180,1250,6040,546,968,17100,1900,7470,149000,NA,90.9,4890,122000,1640,1840,2690,449,NA,47.9,4470,NA,NA,2590,NA,3720,2510,NA,NA,1780,287,349,349,NA,1710,130,158,NA,2540,1.46,588,398,464,2390,530,1800,NA,3290,2810,NA,210,195,173,376,782,184,127,173,750,NA,697,264,NA,1290,337,59,1.07,285,145,4.59,33.3,5.96,9.8,10
"165_016_15","23_059",762,76.1,NA,9.09,2.4,48.7,101,49.6,14.5,NA,37.8,69.8,NA,17.7,21.9,32.8,NA,291,277,2970,NA,168,40.1,649,NA,467,43.3,NA,3680,126,NA,316,1280,8330,149,NA,2080,6300,23400,27300,11200,7270,560,3390,905,389,8750,NA,6860,125000,NA,114,5680,107000,919,1230,2410,NA,NA,NA,4600,1.07,NA,1180,NA,1910,2340,NA,NA,844,624,92.5,301,NA,667,33.4,97.9,25.3,1160,NA,256,34.4,69.4,NA,443,270,NA,971,647,NA,84,42,57.5,143,892,59.1,83.6,273,162,252,156,386,186,1630,285,526,25.1,NA,1090,5.83,26.4,24.5,10.6,23.9
"165_016_16","22_268",646,74.3,10.6,11.5,2.27,306,NA,NA,28.8,0.797,27.9,NA,4220,NA,880,NA,NA,74.1,NA,7470,NA,2700,126,2610,713,894,48,NA,5030,244,NA,668,1150,8640,315,NA,3020,5040,22600,28300,10100,6540,562,3950,1130,446,11700,6980,8400,135000,NA,100,6330,113000,1440,2290,1950,500,10.2,14.5,2020,80.3,240,791,NA,966,827,26.7,113,554,642,203,529,NA,825,NA,106,83.2,1670,NA,141,128,73.9,590,301,715,NA,1350,690,NA,48.2,54.6,107,155,429,65.7,108,271,277,108,286,213,NA,1290,NA,262,25.3,773,125,4.25,14.6,7.97,17.7,NA
"165_016_20","23_058",1820,324,129,NA,39.7,21.5,NA,192,56.7,NA,222,NA,NA,NA,NA,239,NA,90.8,NA,22900,NA,938,144,4210,NA,1580,229,NA,17000,588,NA,543,1650,8260,535,232,5200,7130,23100,29400,16200,9730,1080,4600,1290,427,16500,NA,10600,182000,NA,44.6,7920,145000,2110,1710,2570,1210,NA,NA,5910,14.4,121,1010,NA,2520,2550,NA,NA,1320,801,495,553,NA,930,130,296,NA,3770,NA,349,177,331,1700,613,NA,NA,2520,2250,195,127,134,346,NA,736,264,231,297,438,NA,717,239,1490,260,388,66.8,NA,524,2.84,4.25,29.1,10.7,10.4,NA
"165_016_31","23_243",1360,159,43.6,NA,1.19,106,277,NA,33.1,2.81,1.62,NA,NA,NA,NA,271,17.2,80.2,NA,7040,NA,2190,52.1,2460,496,3560,34,1.54,4360,404,NA,676,1480,2800,770,160,6320,2790,17800,21900,4350,2820,189,1880,331,1920,8020,1610,4530,102000,NA,71.7,3210,91200,787,1990,1920,385,6.16,NA,5530,52.1,NA,1970,NA,4210,2700,13.5,NA,1070,260,278,435,NA,466,153,118,27.5,2370,84.5,363,107,422,243,1640,225,1300,1840,3140,NA,190,343,197,413,820,NA,325,213,NA,763,70.9,97.5,270,568,131,323,17.4,NA,1220,2.88,17.7,17.3,9.87,20.2
"165_016_39","23_244",984,112,12.8,12,NA,569,418,NA,265,NA,NA,NA,5880,NA,1260,NA,NA,0.0342,704,14100,NA,3260,191,4910,985,2060,189,NA,7140,278,NA,919,1500,3550,842,110,2440,4540,9800,11000,9240,4930,1170,2010,1230,651,7080,8370,5340,92800,NA,NA,4130,67400,718,687,917,597,NA,NA,2300,8.83,121,707,NA,1790,856,NA,45.9,662,419,410,265,NA,1010,105,429,NA,1610,NA,20.1,232,425,284,1420,NA,NA,NA,NA,2970,1110,431,33.3,351,3970,196,281,498,232,498,NA,225,445,NA,1320,271,71.7,0.941,471,NA,3.31,17.7,39.6,8.69
"165_016B_23","22_288",171,20.8,80.3,10.2,4.83,326,323,NA,14.8,52,31.5,NA,3120,1.17,548,719,NA,69.5,523,7800,NA,1600,189,2230,620,639,208,NA,6830,232,NA,652,1280,12900,145,NA,1770,3330,13500,15200,9450,6420,973,2010,860,NA,4080,2060,4340,65700,NA,22.1,3130,54700,971,606,1060,311,NA,2.38,1350,NA,132,725,NA,1970,749,NA,60.7,503,371,169,220,NA,521,39.1,282,3.42,1050,NA,474,NA,102,176,951,NA,NA,NA,2040,611,153,30.2,21.9,110,116,697,150,350,209,NA,366,155,287,NA,1430,260,285,17.1,816,134,4.13,19.3,20.5,7.93
"165_016B_25","22_285",1120,134,NA,10.4,4.45,1290,NA,48.8,NA,417,NA,NA,6020,NA,1370,NA,NA,228,862,27100,NA,4240,314,8030,1240,3140,557,42.8,11000,510,NA,1210,1810,4670,1070,113,3320,11700,9370,12400,12400,6940,5610,666,2160,631,9740,8850,5190,89000,NA,45.6,5100,73900,675,486,623,609,431,NA,2390,79.8,198,782,NA,2500,NA,58.8,NA,274,386,522,447,NA,821,187,450,NA,1340,NA,150,498,NA,1910,1590,1420,NA,NA,NA,903,22.4,88.8,21.4,461,541,NA,353,226,93.5,210,46.9,147,256,1110,275,206,1.65,3.9,1020,1.92,15.4,16.4,25.4,14
"165_016B_34","23_215",680,68,3.67,4.9,2.66,378,278,50,NA,NA,NA,NA,7310,NA,2830,NA,NA,0.37,NA,7550,NA,2190,155,2730,486,1350,17,NA,5130,246,NA,478,1390,1040,707,80.5,2900,2120,9970,12000,3730,1930,214,2310,633,1200,8180,5450,4780,85300,NA,7.43,3650,67800,435,1250,1050,284,NA,0.849,2090,6.6,NA,737,NA,1350,906,38.2,NA,380,232,122,166,NA,499,65.8,146,23.3,1200,NA,87.3,433,454,355,593,256,1080,NA,NA,1310,196,269,159,273,563,NA,128,400,169,296,63.7,104,112,522,90.5,111,39,2.21,271,1.76,9.01,8.37,5.6,6.3
"165_016C_52","22_264",1490,163,NA,NA,NA,923,NA,NA,146,93.3,NA,3940,2810,1040,1840,166,NA,NA,631,3960,NA,2570,60.8,1800,864,980,20.9,NA,6990,163,NA,1070,1800,7610,212,214,6170,10500,14800,14700,13500,8650,978,3990,1410,1140,10600,NA,7050,127000,NA,184,5390,94600,1080,1290,2030,726,NA,93.4,5140,NA,298,1600,NA,3020,1330,86.4,NA,1080,359,175,205,NA,1280,124,266,NA,1540,NA,844,330,944,NA,NA,NA,NA,2200,2000,NA,121,128,203,402,603,225,231,297,450,171,255,697,38.6,1660,311,373,22.5,542,124,5.16,28.2,23.7,9.27,9.14
"165_016C_59",NA,1130,139,43.9,6.06,78.1,112,106,8.58,25.3,10.8,5.57,NA,57.4,NA,55.4,1.04,NA,182,NA,4130,NA,421,68.7,1020,NA,995,66.2,NA,4090,700,NA,426,2020,9190,458,143,4190,6620,30700,34100,14500,9250,1200,5510,1320,1160,12800,10500,10400,191000,NA,310,6880,151000,2120,2530,2930,769,NA,NA,4920,1.39,NA,1800,NA,3190,2610,42.4,1430,NA,707,423,591,1020,88.5,274,NA,NA,2950,NA,518,185,246,1280,240,NA,2410,1470,2380,127,174,164,391,734,537,300,124,310,690,424,652,NA,1370,240,291,83.5,449,135,3.43,9.92,26.8,12.5,10.9,NA
"165_016C_60",NA,1340,173,106,NA,14,98.2,NA,NA,26.7,NA,75.4,NA,NA,NA,143,NA,NA,112,NA,13800,NA,479,106,2800,386,1520,559,NA,9660,2190,NA,651,1860,15000,682,NA,3940,9460,24800,29700,25500,17100,2810,5210,1680,NA,21400,NA,11200,192000,NA,176,7050,156000,3310,2370,2900,443,26.6,NA,3690,NA,284,1860,2490,558,1980,NA,935,NA,821,324,778,814,NA,NA,300,4340,NA,NA,474,172,244,1900,NA,2060,3310,NA,2350,65.7,145,153,364,675,354,192,54.4,175,579,284,544,NA,1580,NA,400,113,526,111,4.05,14.1,39.6,18.8,24.4,NA
"165_016C_61",NA,NA,21.6,61.5,2.72,3.51,671,668,NA,NA,113,130,NA,9960,NA,1690,NA,NA,16.6,NA,1200,NA,3010,21.8,1290,795,283,8.64,NA,1270,293,NA,469,960,5750,281,44.7,1420,3030,11200,13900,8630,5890,510,2470,622,406,5940,6150,5510,93400,NA,23.4,4220,79100,888,1200,1460,377,NA,1.37,3150,1.23,50.6,767,NA,1770,1680,14,NA,550,364,176,175,NA,559,66,117,NA,1190,NA,232,46.6,85.7,33.6,434,199,NA,NA,867,773,73.4,44.6,31.9,208,334,220,107,75.9,164,318,NA,152,179,NA,910,184,136,47.9,436,68.6,5.71,20.1,21.6,12.7
"165_019_08",NA,1190,149,NA,36.1,NA,179,297,NA,28.3,NA,56.1,NA,3380,NA,NA,NA,NA,94,NA,29900,NA,3520,322,8960,601,4400,83.9,NA,10600,939,NA,969,1820,5560,1670,NA,4720,2820,10700,12800,8170,5770,1150,1470,357,611,11100,1360,4440,91800,NA,86.5,2930,81600,1360,1480,1110,485,NA,NA,2520,74.5,102,720,NA,793,1360,5.5,57,944,169,322,748,NA,660,121,209,NA,2340,NA,28.5,284,952,NA,1420,498,1360,2200,897,2870,307,334,98.4,394,748,682,332,283,196,796,405,NA,354,48.2,572,302,44.4,NA,460,1.68,4.27,15.9,10.9,6.25
"165_019_12","23_145",672,NA,205,58.5,NA,186,295,NA,13.2,NA,66.9,3.52,1890,23.7,NA,NA,NA,38.4,NA,18700,NA,2450,188,3370,313,5000,82.3,NA,4980,253,NA,547,1240,1710,906,510,5340,1580,5790,7280,3060,2220,133,1560,174,1340,5400,829,2440,62000,NA,NA,1700,50700,536,1350,905,334,1.68,NA,3020,NA,65.7,471,NA,727,2880,NA,NA,668,170,57.5,NA,547,174,112,90.1,44.2,1330,NA,26,188,174,208,843,270,329,NA,1630,955,NA,136,114,111,204,377,109,85.5,69.8,NA,817,127,282,35.7,777,115,108,25.2,366,51.6,4.96,21,11.3,9.61
"165_019_13","23_146",NA,NA,176,11.8,137,50.6,NA,308,NA,2.92,NA,135,1240,NA,223,566,8.03,170,1150,7740,NA,1600,290,1830,307,1900,18.9,NA,3440,226,NA,610,1240,3480,1330,890,6760,2900,6010,6690,4400,3220,420,1340,201,1190,4090,673,2020,37600,NA,25,1250,29900,601,1020,860,236,1.14,17,1200,302,118,620,NA,843,719,15.4,NA,484,100,74.3,NA,355,106,79.2,163,NA,NA,1270,68.3,416,194,NA,1120,136,282,NA,4230,1370,NA,69.6,240,54.5,133,365,NA,74.6,15.4,96.3,389,NA,508,26.1,358,243,271,85,NA,574,3.42,7.14,22.4,7.16
"165_019_14","23_148",NA,NA,499,38.4,NA,NA,NA,NA,49.4,6.55,38.5,NA,3130,806,NA,NA,NA,61.2,NA,49900,NA,2890,249,4730,671,4700,920,NA,9410,436,NA,803,1500,1510,676,459,8090,2980,4900,5590,4240,2650,176,1600,124,1930,6780,2410,2550,62500,NA,78.7,1470,50000,460,1520,NA,372,26.1,NA,2570,741,91.1,1030,NA,932,1710,15.6,NA,529,221,48.7,280,NA,235,129,306,83.2,NA,1480,26.3,448,260,468,1890,NA,770,106,6590,1880,NA,194,264,140,172,1040,166,166,109,NA,968,77.8,285,42.1,724,110,424,19.9,527,85.9,4.69,22.1,9.86,14.2
"165_019_18","23_152",NA,NA,84.8,NA,19,41.6,NA,85.4,NA,13.7,6.59,2.98,965,4.95,580,NA,NA,20.3,NA,8410,NA,1640,70.5,2650,342,1120,101,NA,3700,219,7.82,480,1140,1440,1060,144,4100,851,6650,8670,2610,1860,189,519,125,1360,6090,915,2460,59300,NA,30,1860,49700,303,799,679,321,NA,NA,2840,13.6,38.6,223,NA,114,144,1840,5.6,1090,64.8,245,NA,299,383,87.5,53.3,21.3,NA,1430,180,248,33.3,295,NA,1040,398,45.1,1930,NA,2180,207,285,166,217,489,355,144,29.9,89,641,272,79.6,204,16.9,368,222,37.1,20.6,573,101,2.43,18.1,8.7
"165_019_19","23_206",1570,258,NA,NA,NA,393,655,NA,62.2,NA,163,NA,NA,NA,1760,NA,NA,171,2880,4230,NA,3510,98.6,2240,890,694,28.6,NA,9550,286,NA,1030,1690,2640,544,207,7900,2070,16300,18200,4300,2730,151,2770,576,1570,8330,4300,4220,94500,NA,164,3170,72200,689,2290,1040,519,48.4,NA,2470,39.8,172,752,NA,931,923,43.5,NA,997,201,254,307,NA,587,35.6,262,33.1,1860,157,335,161,208,222,1370,86.5,652,NA,4330,2140,193,144,176,364,733,381,167,63.5,93.3,744,269,818,265,1080,184,322,56.7,NA,234,1.28,15.6,35.6,5.97,9.16
"165_019_21","23_239",2110,326,NA,66.5,26.6,192,284,NA,15.4,NA,NA,NA,NA,NA,NA,344,NA,115,NA,4620,NA,1440,303,1630,451,1220,13.3,NA,3650,195,NA,942,2080,16400,237,259,3890,13300,25100,26100,15600,11100,1450,1180,1360,NA,12700,1680,6740,124000,NA,212,5580,1e+05,1000,1040,1450,645,0.147,29,4920,1430,615,864,NA,470,1090,125,NA,643,262,134,187,NA,684,178,360,23.8,1970,59.7,247,174,551,NA,1720,824,NA,NA,2260,NA,247,100,94.1,364,739,396,329,491,NA,407,284,287,152,1130,270,302,66.4,NA,643,NA,19,21,11.5,11.4
"165_019_22","23_245",NA,NA,155,24.2,0.768,366,459,NA,54,NA,25.4,NA,4420,NA,NA,NA,NA,23.5,NA,7510,4.89,1950,108,2580,448,1250,19.9,0.357,5120,308,NA,432,1450,4590,767,NA,4580,4790,6630,6670,9530,6580,523,1850,339,3.72,5420,1340,3370,68600,NA,53.4,2230,52000,822,1280,1060,253,NA,56.7,2940,14.3,NA,951,NA,1250,1140,NA,43.6,734,105,119,337,NA,360,117,122,6.93,1630,NA,NA,499,389,271,2100,531,1420,NA,2160,2060,155,135,129,325,NA,948,221,175,266,NA,467,255,310,34.1,743,302,48.9,18.2,511,119,6.28,16.6,14.6,9.92
"165_019_23","23_153",3260,484,NA,NA,NA,63.7,614,NA,NA,NA,53.8,NA,1760,183,833,93,NA,64.1,NA,7120,NA,3240,121,2500,635,2470,41.8,NA,3550,531,NA,731,1780,10200,969,NA,6930,3470,18300,19900,11200,7480,995,1660,228,550,10800,3880,5990,102000,650,67.5,2790,80800,1010,1950,1260,339,48.9,NA,5350,33.3,116,759,NA,899,4260,34.6,NA,1140,423,171,245,33.5,270,99.5,262,37.4,2740,160,374,417,330,NA,2010,145,466,NA,6690,2620,117,255,373,364,834,632,176,35.9,76.6,645,92.5,362,307,729,143,462,21.8,NA,706,2,18.7,44,8.26,10.5
"165_019_27","23_161",NA,NA,268,NA,145,37.4,55.5,138,1.31,2.76,20.2,10.9,NA,10.3,0.642,205,13.1,145,220,4590,NA,1870,101,1510,406,2570,29.5,NA,998,164,NA,517,967,2590,799,315,4250,1420,16500,18400,2710,1970,271,479,362,834,4520,1230,3100,57700,NA,195,2150,44500,318,801,586,260,NA,23,1730,21.8,109,168,180,234,995,43.7,NA,808,109,151,172,NA,129,48.2,109,6.63,1420,NA,15.2,356,191,NA,1170,52.1,276,NA,6440,1370,NA,236,310,65,109,475,149,73.2,76.7,NA,892,166,287,51.8,593,146,362,17,591,116,4.12,17.1,21.4,17.3
"165_025_08","22_298",1380,176,32.8,NA,2.83,1120,NA,152,350,NA,66,NA,8570,NA,5280,NA,NA,NA,NA,73100,NA,5130,1240,14200,1170,7230,1140,NA,17600,667,NA,2100,2920,1880,2260,489,3860,6190,27200,32500,4030,2200,6470,3730,1110,1940,14400,3310,6760,139000,NA,231,6220,124000,487,3670,1390,268,235,NA,4660,24.3,NA,1080,NA,1840,1140,28,NA,637,254,297,1260,NA,1020,306,1100,NA,1780,2.47,405,685,1230,4110,2640,NA,NA,NA,1590,NA,27.4,432,NA,706,1050,137,NA,518,462,NA,198,327,82.2,930,NA,544,4.64,1390,172,2.57,14.2,14.3,7.94,9.53
"165_025_12","22_294",10.6,7.5,6.54,11.8,67.5,122,44.8,4.91,9.64,62.5,NA,93,27.7,19.7,128,NA,1200,NA,NA,15600,NA,395,81.1,4050,NA,1760,472,NA,9400,193,NA,665,2090,5770,805,436,7120,7030,22600,28300,15900,9530,395,7660,2360,4570,22200,2700,14300,250000,NA,417,10900,2e+05,1730,2220,3800,1080,73.2,NA,7700,0.305,NA,1730,5710,1570,4410,73.1,1910,617,360,314,NA,1830,237,193,69.6,1640,224,279,63.1,254,NA,1160,NA,NA,2580,1240,NA,154,126,154,252,617,149,238,278,260,178,264,33.1,NA,979,493,NA,901,174,0.709,10.6,42.8,5.49,8.93,NA,NA
"165_025B_34","22_266",1730,247,96.8,NA,NA,486,563,NA,250,NA,78.4,NA,7780,NA,4140,NA,NA,NA,NA,23300,NA,2950,539,3580,NA,2710,463,NA,6560,1520,NA,1190,2110,4560,1790,222,4820,2000,12600,15300,7180,4930,453,1750,192,602,8190,1660,4680,79900,195,NA,2570,68800,1040,1910,1720,241,9.26,NA,4540,0.343,NA,1990,NA,4440,2460,20.8,NA,1140,138,256,211,NA,304,211,227,26.8,2070,83.2,360,102,179,106,1620,144,572,3320,2270,3560,213,337,227,436,767,694,336,50.6,86.9,580,81.4,111,317,530,122,304,41.7,NA,1030,0.532,17.4,21,9.16,17
"165_16C_53",NA,2600,404,178,NA,NA,14.8,NA,364,276,NA,314,NA,NA,29.3,839,NA,38.1,102,NA,47000,NA,1510,1070,7310,508,5830,580,NA,35800,615,NA,1850,3390,33400,788,NA,13700,21700,41700,44200,29200,19500,2980,5940,2920,NA,38300,NA,12700,194000,NA,347,9020,161000,4010,2550,3790,1250,NA,148,4970,NA,781,2390,NA,4250,2120,93.1,NA,1980,1240,478,639,NA,1400,206,186,NA,3450,7.25,1010,845,856,2500,1470,NA,NA,3570,1840,NA,52.7,189,20.1,657,874,572,216,350,478,NA,686,381,1450,373,734,NA,NA,1080,203,4.99,34.1,8.95,13.8,NA
"165_16C_66",NA,1390,161,NA,NA,NA,NA,NA,NA,222,23.4,NA,7240,5240,1540,2800,349,NA,0.022,1010,9020,NA,4800,125,2650,1870,564,230,NA,9560,514,NA,1260,2000,11500,178,289,4370,6920,17000,17600,20600,14700,1800,4180,1740,1.42,14900,3420,9540,154000,NA,69.5,6230,119000,1910,1680,2650,609,4.41,NA,4010,NA,194,2070,NA,3670,1550,NA,NA,1430,411,226,387,NA,834,341,268,NA,2470,NA,955,164,338,1260,365,971,NA,2930,1540,NA,67.8,183,91,146,595,157,82.1,255,310,NA,284,144,28.2,452,155,31.5,2.93,170,38.8,4.28,10.1,3.7,5.84,7.56
"165_25B_30_redo",NA,1140,175,33,20.1,NA,60.5,63.6,228,174,NA,330,NA,NA,NA,NA,NA,842,32.2,NA,47900,NA,1240,11.5,7740,NA,4810,460,NA,18600,168,NA,925,1310,1900,888,85.6,4060,5980,17700,21300,9530,3130,1140,3530,2260,1940,10100,9250,8390,147000,NA,31.3,6840,113000,763,1450,2200,915,NA,NA,5360,NA,244,959,NA,3180,1720,115,NA,728,647,515,563,NA,1110,170,526,43.9,1490,145,246,314,304,NA,1290,NA,NA,NA,1650,NA,271,264,NA,516,806,153,NA,395,536,NA,133,220,44.9,166,NA,153,3.06,465,99.4,3,10.8,40.1,NA,NA
"165_25B_46","22_325",993,146,14.3,13.9,NA,78.4,NA,88.7,29.2,NA,108,NA,1360,NA,1150,206,NA,63.3,90.4,89800,NA,5330,NA,9390,1210,7530,1280,NA,20900,682,NA,1900,2780,17100,1370,NA,5150,12000,24800,50900,26500,12200,1550,3000,910,26500,8470,16100,17300,192000,NA,85.3,7440,157000,2470,1550,3100,795,NA,NA,6950,8.73,99.8,1050,NA,4240,3880,26.1,NA,1450,660,551,385,NA,951,103,260,NA,1760,NA,406,135,126,796,486,NA,1700,1030,1420,242,282,89.1,129,76.2,2200,98.4,668,130,161,NA,273,NA,621,352,500,NA,NA,767,1.58,3.89,35.6,9.91,12.5,NA
"165_25B_47","22_326",2120,391,93.9,NA,93,68.2,67.3,3.35,6.64,NA,228,NA,NA,NA,NA,NA,NA,162,NA,17600,NA,762,200,3300,NA,1800,120,NA,22500,224,NA,795,1910,2930,471,510,10100,7290,10400,12200,11600,6260,1130,5000,1310,3080,19000,NA,9420,185000,NA,216,6940,148000,1440,2530,2030,930,27.1,NA,6550,60.8,NA,1400,NA,4240,3060,65.5,1780,NA,457,495,261,983,NA,358,15.2,NA,2060,NA,390,448,NA,NA,536,1200,3190,NA,2380,NA,149,282,372,698,478,304,59.5,445,629,702,645,NA,1250,NA,360,38.5,457,115,6.69,20.6,28.9,9.2,13.1,NA
"165_26_3",NA,1370,224,NA,41.4,NA,1830,NA,21.5,134,NA,94,NA,28400,NA,12500,NA,332,30,1780,68900,NA,8000,1470,15000,1500,10200,2310,NA,24800,2110,NA,2760,2130,4770,3970,761,5170,8270,9400,11500,13200,8060,2010,2050,1290,NA,16400,NA,6100,104000,NA,103,4470,83700,2270,878,1040,328,164,NA,3070,NA,353,1210,NA,2060,1170,NA,NA,650,361,146,649,NA,902,119,822,NA,1810,NA,425,252,NA,NA,3440,NA,NA,NA,NA,1400,95,206,38.5,711,1410,NA,NA,372,310,293,111,NA,301,20.8,474,295,35.3,NA,603,5.47,3.8,31.5,13.8,10.9
