"field_ID","Lab_ID","V4","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V22","V23","V24","V25","V26","V27","V28","V29","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V45","V46","V47","V49","V59","V67","V71","V73","V74","V75","V80","V82","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153"
"165_26D_162","22_186",941,160,17,15.1,13.4,134,NA,2.9,4.78,0.899,34.8,17.5,NA,NA,243,NA,28.1,246,309,13700,NA,394,132,1970,NA,3780,137,NA,4960,741,NA,512,1920,8790,934,220,3280,12600,20000,26500,15600,10600,4200,1090,1350,727,17800,7070,13900,178000,NA,38.7,8680,144000,2270,938,2230,774,NA,NA,3680,10.3,NA,1080,NA,2350,1530,20.3,NA,1460,644,608,554,NA,945,158,440,NA,2410,NA,204,288,NA,1310,645,NA,NA,2970,1750,66.1,131,75.3,335,NA,533,211,188,259,424,244,287,NA,754,248,256,71.2,0.643,652,NA,4.04,25.4,9.48,19,22.3
"165_26D_164","22_177",800,105,10.9,14.5,1.71,411,NA,118,234,87.4,NA,NA,15500,NA,6960,NA,NA,NA,1880,53000,NA,4770,920,6590,1140,2840,1420,NA,10300,1120,NA,1670,2200,3500,2650,956,4090,5950,23400,30500,8750,3890,750,2400,432,1030,14100,7520,8780,163000,285,0.0501,5820,143000,1220,1350,2200,793,35.7,NA,5870,0.177,154,947,NA,3570,4200,35.8,NA,1200,684,292,575,NA,1010,191,210,NA,1760,NA,458,121,77,319,361,309,453,831,1280,NA,91.7,225,163,191,400,91,122,135,246,73.1,159,254,14.8,566,NA,450,16,1070,195,3.45,18.8,38.4,8.85,10.7
"165_26D_165",NA,1490,226,24.6,NA,NA,523,NA,44.8,73.3,NA,49.6,NA,2360,NA,1100,10,3.95,90.6,NA,31900,NA,7250,343,9150,2180,4260,1550,16.1,8280,1400,NA,2040,3930,16000,1030,152,2460,8010,29000,37200,22100,14000,3430,3870,2520,5930,12300,2790,12300,190000,NA,196,9440,155000,3620,1350,2060,855,NA,NA,4290,NA,1390,900,NA,4810,2410,105,792,97,802,307,727,895,NA,277,524,NA,2570,NA,327,187,NA,NA,NA,NA,NA,NA,1200,312,NA,509,122,283,210,295,307,196,299,88.8,267,131,145,50.8,1270,5.81,NA,282,9.23,3.85,21.6,3.49,9.27,NA
"165_26D_173","22_174",1130,145,31,NA,NA,821,NA,NA,609,NA,NA,NA,23200,NA,10800,NA,NA,NA,NA,49200,NA,6840,1180,8070,2000,4670,971,NA,13200,3110,NA,2320,2500,10800,4270,699,3880,8670,16100,22700,25600,16800,3180,1850,1150,9090,16800,7460,10600,181000,NA,80,6770,154000,3670,1300,2360,418,13.4,NA,7510,NA,419,827,1230,1590,4710,53.4,1070,62.9,661,244,510,863,NA,93.1,312,NA,2710,87.1,253,235,61.2,355,181,625,1330,1000,2470,396,470,116,232,NA,670,289,238,172,286,88.5,294,26.8,339,107,316,36.5,691,160,4.54,16,37,8.29,20.6,NA
"165_26D_175",NA,1570,275,NA,NA,NA,NA,NA,NA,NA,NA,11.3,7740,6790,2270,3300,NA,NA,941,240,4240,NA,7220,25.7,4570,1810,1780,92.6,NA,2760,1490,NA,1310,1450,9910,1620,423,2320,7150,11600,13100,23300,15900,3290,1950,1620,NA,15300,NA,8880,141000,NA,127,5550,111000,2760,1340,1550,574,51.4,NA,3070,NA,358,1050,NA,2380,1250,15.6,NA,1080,695,809,986,NA,627,158,369,NA,2180,NA,220,284,NA,1680,462,NA,1240,2580,2270,NA,75.9,207,120,331,554,294,NA,238,467,146,940,274,NA,1420,NA,285,NA,346,106,1.65,21.1,19.3,20.8,10.7
"165_26D_186","22_183",2320,345,NA,23.6,NA,NA,NA,NA,8.09,NA,129,213,10,NA,24.1,NA,1600,NA,NA,8190,NA,384,57.7,850,NA,1310,NA,NA,10800,232,30.7,582,1600,2710,749,242,8290,19900,16900,17600,9940,4920,3060,3080,914,3590,21800,6130,6790,142000,NA,85,4650,105000,816,1500,2420,610,5.27,NA,12600,258,199,1220,2110,604,5830,NA,NA,1780,501,261,90.4,NA,858,32.6,271,NA,1960,90.3,715,259,944,1890,501,927,NA,2300,3390,NA,239,306,152,376,903,217,139,188,627,NA,664,307,NA,1660,572,40.5,0.551,787,221,6.6,39.7,10.7,12.8,10.2
"165_26D_206","22_198",1160,142,20.5,6.33,10.1,442,NA,NA,124,71.8,NA,NA,12500,NA,3860,62.9,NA,NA,1090,9940,NA,4680,431,5550,1180,2140,85.5,1.13,5780,816,NA,1140,2230,3600,2650,311,5650,5930,19600,24600,5760,3630,1190,1890,1470,1490,11600,2680,9090,161000,NA,131,7660,130000,1190,976,3620,825,NA,NA,4670,34.9,20,2710,9380,NA,1850,4.76,462,976,592,413,411,NA,643,254,165,NA,2020,NA,352,155,178,1140,697,NA,NA,2430,2150,NA,385,277,382,NA,602,273,271,204,585,NA,152,310,14.4,475,273,45.5,NA,563,120,5.65,25,5.5,20.2,NA
"165_26D_224","23_005",1850,333,NA,NA,NA,NA,NA,NA,NA,NA,NA,13400,11700,2200,4620,370,NA,NA,NA,12800,0.0196,8930,402,6650,2260,2490,22.3,NA,8310,634,NA,1430,1940,2630,2430,NA,7300,16100,10500,10800,11200,6300,1310,2780,1480,3650,24300,NA,10500,197000,NA,156,7350,151000,1060,2020,1720,1220,15.4,37.4,6350,NA,530,1720,NA,2760,2720,127,1630,NA,516,693,633,NA,893,61.5,306,NA,2260,NA,762,653,NA,2010,NA,715,1770,3150,3000,46.6,315,408,504,792,584,346,48.9,260,906,504,917,NA,1120,219,259,44.9,197,66.6,3.86,9.23,24,12,10.2,NA
"165_26E_138",NA,937,102,32.3,NA,NA,834,NA,NA,193,88.6,NA,NA,16700,1870,2490,111,NA,NA,NA,6240,NA,4190,77.6,3340,1020,1440,68,NA,4450,522,NA,546,2020,16200,1980,276,3880,10300,28000,33400,17500,11300,1210,2090,812,330,15800,7130,9110,164000,NA,23.9,5170,134000,1850,1320,1930,571,NA,NA,5200,0.255,138,778,NA,1710,4520,NA,NA,1460,560,350,444,NA,590,60.8,142,NA,1940,NA,343,115,51.6,934,NA,342,NA,2730,1850,NA,214,298,118,179,484,127,36.5,83.6,422,NA,255,275,31,921,NA,524,NA,1020,235,4.18,33.4,6.39,9.41,7.56
"165_26E_157",NA,1050,138,8.83,19.1,0.915,702,608,NA,111,NA,81.6,NA,7410,NA,3320,NA,NA,NA,NA,18900,NA,2910,309,3150,657,2790,166,NA,9280,1030,NA,1080,1860,4650,1010,6.62,5950,8330,16900,19700,7070,4880,671,2180,444,696,11800,3430,5310,110000,171,NA,3920,97100,1090,1980,2430,366,NA,7.23,5510,6.96,41.1,3030,NA,5070,2360,9,NA,890,451,166,589,NA,554,219,161,25.8,2120,NA,712,111,829,498,2370,NA,NA,1880,995,2070,44.5,145,78.1,471,686,571,276,139,191,377,89,156,196,1040,192,277,68.4,NA,865,5.38,19.7,31.3,10,13
"165_26E_167","22_188",1310,169,26.9,NA,NA,1170,NA,NA,326,96.3,NA,11600,8430,NA,NA,119,NA,NA,NA,10900,NA,6180,117,4700,1550,1540,151,NA,9150,1170,NA,1330,2330,16400,1400,544,4940,13600,23400,27900,28100,19400,6570,1370,1620,NA,17300,7040,11300,189000,NA,30.3,7140,152000,3340,1440,2570,523,NA,NA,6670,NA,331,1090,NA,2280,4070,89.6,1880,58.1,740,312,553,1120,NA,130,331,NA,2560,83.4,200,349,217,1290,248,1190,2390,1410,2220,NA,156,140,353,662,412,142,57.1,186,471,440,577,NA,1140,241,393,48.5,461,144,3.95,13.2,23.1,12.7,12.6,NA
"165_26E_179","22_180",NA,NA,129,5.67,122,205,195,32.2,48.1,NA,119,NA,NA,NA,188,9.12,NA,101,NA,18400,NA,855,134,2270,NA,2670,343,NA,9310,1400,NA,1230,4620,90400,644,440,6290,16200,70900,80900,56900,41700,13000,2850,1820,8740,26900,5060,18700,263000,NA,195,9530,212000,7030,1420,5710,865,NA,NA,9090,NA,264,4830,11800,NA,5880,6.67,3520,219,1440,785,912,995,NA,306,36.3,3990,91.6,NA,608,221,416,1560,NA,839,2570,2830,NA,259,266,228,331,723,414,167,181,568,146,450,304,NA,1210,524,23,NA,793,3.66,8.44,38.2,4.1,9.59,NA,NA
"165_26E_201","22_213",952,105,NA,11.9,4.35,129,257,NA,14.9,NA,112,NA,NA,76.5,NA,31.4,48.5,465,1650,23500,NA,3000,95.2,5700,549,4000,339,NA,8610,396,NA,751,1790,3180,1240,191,3510,4370,6870,8130,9140,6440,3170,555,274,386,9980,2960,4620,104000,1.85,7.19,3350,94300,1200,886,NA,270,43,46.9,3320,789,38,679,NA,597,3290,80.9,NA,972,286,94.4,539,NA,621,126,235,NA,1620,NA,246,104,293,1350,1320,678,1350,1640,835,1930,NA,194,89.1,296,511,422,163,151,108,541,77,NA,254,22.5,570,396,60.6,NA,1090,2.4,4.7,36.4,39.5,18.5
"165_26E_202","23_189",1.98,14.1,57.2,4.26,8.86,21.8,61.7,31.6,2.63,8.59,1.08,12.6,337,5.11,NA,434,181,NA,182,3350,NA,1900,115,1710,629,1370,13,NA,1790,105,NA,504,1100,2190,448,298,1770,4010,4330,5160,6010,3890,318,1190,406,90.7,4070,4760,3640,61900,NA,17.1,2890,49300,669,612,844,241,NA,41,1490,NA,136,803,NA,1350,598,21.2,NA,453,271,162,124,117,188,29.6,101,76.6,631,NA,255,26.1,103,NA,NA,NA,NA,NA,876,482,NA,19.8,35.2,110,112,331,NA,132,141,37.7,188,107,167,NA,721,155,202,25.5,407,76.7,3.8,24.4,10.3,7.11
"165_26E_214","23_223",2070,278,NA,NA,NA,1060,NA,NA,64.4,25.5,NA,3980,2720,NA,NA,342,NA,NA,1290,13600,NA,4920,185,6940,1740,2440,433,NA,7620,755,NA,981,2510,19600,981,498,4750,20600,28600,32400,20100,13500,5180,903,1740,696,19300,8690,11300,187000,NA,142,8160,153000,2130,1380,1990,785,NA,NA,5490,111,227,1610,NA,2320,2970,4.12,1720,122,712,501,1200,1100,NA,288,25.9,NA,1890,NA,248,533,NA,2390,NA,NA,3640,NA,1330,42.4,156,57.3,527,NA,891,373,NA,263,429,167,247,50.3,532,206,270,20.2,557,117,5.43,15.9,9.98,9.72,10.3,NA
"165_26E_221","23_137",NA,NA,464,NA,NA,51.2,358,NA,NA,6.04,NA,532,NA,3.79,105,NA,NA,864,NA,9520,102,788,190,1560,3.85,1780,23.7,1.97,11400,63.1,NA,1120,3160,6040,544,891,8140,26300,8300,7230,14900,10100,5220,407,1190,1.57,17200,804,4690,72400,NA,142,3050,50000,726,906,642,645,NA,285,2920,686,800,1620,NA,4400,709,86.3,NA,1330,274,207,257,NA,876,99.5,185,12.1,1290,NA,616,442,763,NA,NA,NA,NA,2090,2200,NA,89.1,166,165,443,883,646,NA,139,367,470,354,227,185,419,234,376,28,NA,556,3.21,17.7,18.7,11.3,6.2
